source_id,relation,target_id
softwareinstance:sast_paddlepaddle,HAS_GUIDE,guide:sastreadme
software:lenet,DEVELOPED_BY,author:cs598_spring07
softwareinstance:dqn_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:moe-llava-stablelm-16b_pytorch,USES_FRAMEWORK,framework:pytorch
software:llama3_8b_sft,DEVELOPED_BY,author:hpcaitech
softwareinstance:dlrm_paddlepaddle,INSTANCE_OF,software:dlrm
software:efficient_conformer_v2_wenet,DEVELOPED_BY,author:wenet-e2e
softwareinstance:vgg_tensorflow,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:qwen-7b_pytorch,HAS_GUIDE,guide:qwen-7breadme
softwareinstance:pointrcnn_iou_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:ttvsr_pytorch,INSTANCE_OF,software:ttvsr
softwareinstance:maskrcnn_pytorch,HAS_GUIDE,guide:maskrcnnreadme
softwareinstance:oriented_reppoints_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:res2net50_14w_8s_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:basicvsr_pytorch,TRAINED_ON,dataset:reds
softwareinstance:dbnet_pytorch,INSTANCE_OF,software:dbnet
softwareinstance:pp_yoloe_paddlepaddle,HAS_GUIDE,guide:pp_yoloereadme
softwareinstance:ocrnet_pytorch,USES_FRAMEWORK,framework:pytorch
software:fcos,DEVELOPED_BY,author:deepsparkcommunity
softwareinstance:gcn_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
software:llama2-34b,DEVELOPED_BY,author:microsoft
software:deeplabv3,DEVELOPED_BY,author:deepsparkcommunity
softwareinstance:densenet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:pp-lcnet_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:pix2pix_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:wide_resnet101_2_pytorch,TRAINED_ON,dataset:imagenet
softwareinstance:resnet50_tensorflow,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
softwareinstance:refinenet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:llama2-7b_reward_sft_pytorch,HAS_GUIDE,guide:llama2-7b_reward_sftreadme
