source_id,relation,target_id
runtime:dtk2404,COMPATIBLE_WITH,API:cudaArrayGetInfo
runtime:dtk2404,COMPATIBLE_WITH,API:cudaChooseDevice
runtime:dtk2404,COMPATIBLE_WITH,API:cudaConfigureCall
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDestroyExternalMemory
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDestroyExternalSemaphore
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceCanAccessPeer
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceDisablePeerAccess
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceEnablePeerAccess
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetAttribute
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetByPCIBusId
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetCacheConfig
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetLimit
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetNvSciSyncAttributes
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetP2PAttribute
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetPCIBusId
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetSharedMemConfig
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceGetStreamPriorityRange
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceReset
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceSetCacheConfig
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceSetLimit
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceSetSharedMemConfig
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDeviceSynchronize
runtime:dtk2404,COMPATIBLE_WITH,API:cudaDriverGetVersion
runtime:dtk2404,COMPATIBLE_WITH,API:cudaEventCreate
runtime:dtk2404,COMPATIBLE_WITH,API:cudaEventCreateWithFlags
