id,label,name,source_url,extra/Type,extra/area,extra/Main-Task,software_id,framework_id,extra/Vendor,extra/release,hardware_id,runtime_id,extra/library
API:CUBLAS_GEMM_ALGO22,API,CUBLAS_GEMM_ALGO22,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO23,API,CUBLAS_GEMM_ALGO23,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO2_TENSOR_OP,API,CUBLAS_GEMM_ALGO2_TENSOR_OP,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO3,API,CUBLAS_GEMM_ALGO3,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO3_TENSOR_OP,API,CUBLAS_GEMM_ALGO3_TENSOR_OP,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO4,API,CUBLAS_GEMM_ALGO4,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO4_TENSOR_OP,API,CUBLAS_GEMM_ALGO4_TENSOR_OP,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO5,API,CUBLAS_GEMM_ALGO5,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO5_TENSOR_OP,API,CUBLAS_GEMM_ALGO5_TENSOR_OP,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO6,API,CUBLAS_GEMM_ALGO6,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
API:CUBLAS_GEMM_ALGO6_TENSOR_OP,API,CUBLAS_GEMM_ALGO6_TENSOR_OP,https://download.sourcefind.cn:65024/1/main/DTK-23.04.1/Document,,,,,,,,,,CUDA API 支持
