id,label,name,source_url,extra/Type,extra/area,extra/Main-Task,software_id,framework_id,extra/Vendor,extra/release,hardware_id,runtime_id,extra/library
guide:cosfacereadme,Guide,cosface README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/face_recognition/cosface/pytorch/README.md,,,,,,,,,,
software:facenet,Software,facenet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/face_recognition/facenet,模型,CV,face_recognition,,,,,,,
softwareinstance:facenet_pytorch,SoftwareInstance,facenet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/face_recognition/facenet/pytorch,,,,software:facenet,framework:pytorch,,,,,
guide:facenetreadme,Guide,facenet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/face_recognition/facenet/pytorch/README.md,,,,,,,,,,
softwareinstance:facenet_tensorflow,SoftwareInstance,facenet_Tensorflow,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/face_recognition/facenet/tensorflow,,,,software:facenet,framework:tensorflow,,,,,
author:davidsandberg,Author,davidsandberg,https://github.com/davidsandberg,,,,,,,,,,
software:gat,Software,gat,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/gat,模型,CV,gnn,,,,,,,
softwareinstance:gat_paddlepaddle,SoftwareInstance,gat_Paddlepaddle,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/gat/paddlepaddle,,,,software:gat,framework:paddlepaddle,,,,,
guide:gatreadme,Guide,gat README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/gnn/gat/paddlepaddle/README.md,,,,,,,,,,
software:gcn,Software,gcn,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/gcn,模型,CV,gnn,,,,,,,
softwareinstance:gcn_mindspore,SoftwareInstance,gcn_Mindspore,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/gcn/mindspore,,,,software:gcn,framework:mindspore,,,,,
guide:gcnreadme,Guide,gcn README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/gnn/gcn/mindspore/README.md,,,,,,,,,,
softwareinstance:gcn_paddlepaddle,SoftwareInstance,gcn_Paddlepaddle,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/gcn/paddlepaddle,,,,software:gcn,framework:paddlepaddle,,,,,
software:graphsage,Software,graphsage,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/graphsage,模型,CV,gnn,,,,,,,
softwareinstance:graphsage_paddlepaddle,SoftwareInstance,graphsage_Paddlepaddle,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/gnn/graphsage/paddlepaddle,,,,software:graphsage,framework:paddlepaddle,,,,,
guide:graphsagereadme,Guide,graphsage README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/gnn/graphsage/paddlepaddle/README.md,,,,,,,,,,
software:dcgan,Software,dcgan,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/image_generation/dcgan,模型,CV,image_generation,,,,,,,
softwareinstance:dcgan_mindspore,SoftwareInstance,dcgan_Mindspore,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/image_generation/dcgan/mindspore,,,,software:dcgan,framework:mindspore,,,,,
guide:dcganreadme,Guide,dcgan README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/image_generation/dcgan/mindspore/README.md,,,,,,,,,,
software:pix2pix,Software,pix2pix,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/image_generation/pix2pix,模型,CV,image_generation,,,,,,,
softwareinstance:pix2pix_paddlepaddle,SoftwareInstance,pix2pix_Paddlepaddle,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/image_generation/pix2pix/paddlepaddle,,,,software:pix2pix,framework:paddlepaddle,,,,,
guide:pix2pixreadme,Guide,pix2pix README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/image_generation/pix2pix/paddlepaddle/README.md,,,,,,,,,,
software:solo,Software,solo,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/instance_segmentation/solo,模型,CV,instance_segmentation,,,,,,,
softwareinstance:solo_pytorch,SoftwareInstance,solo_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/instance_segmentation/solo/pytorch,,,,software:solo,framework:pytorch,,,,,
guide:soloreadme,Guide,solo README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/instance_segmentation/solo/pytorch/README.md,,,,,,,,,,
softwareinstance:solov2_pytorch,SoftwareInstance,solov2_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/instance_segmentation/solov2/pytorch,,,,software:solov2,framework:pytorch,,,,,
software:yolact,Software,yolact,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/instance_segmentation/yolact,模型,CV,instance_segmentation,,,,,,,
softwareinstance:yolact_pytorch,SoftwareInstance,yolact_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/instance_segmentation/yolact/pytorch,,,,software:yolact,framework:pytorch,,,,,
author:dbolya,Author,dbolya,https://github.com/dbolya,,,,,,,,,,
guide:yolactreadme,Guide,yolact README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/instance_segmentation/yolact/pytorch/README.md,,,,,,,,,,
software:bytetrack,Software,bytetrack,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/multi_object_tracking/bytetrack,模型,CV,multi_object_tracking,,,,,,,
softwareinstance:bytetrack_paddlepaddle,SoftwareInstance,bytetrack_Paddlepaddle,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/multi_object_tracking/bytetrack/paddlepaddle,,,,software:bytetrack,framework:paddlepaddle,,,,,
guide:bytetrackreadme,Guide,bytetrack README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/multi_object_tracking/bytetrack/paddlepaddle/README.md,,,,,,,,,,
software:deep_sort,Software,deep_sort,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/multi_object_tracking/deep_sort,模型,CV,multi_object_tracking,,,,,,,
softwareinstance:deep_sort_pytorch,SoftwareInstance,deep_sort_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/multi_object_tracking/deep_sort/pytorch,,,,software:deep_sort,framework:pytorch,,,,,
author:zqpei,Author,ZQPei,https://github.com/ZQPei,,,,,,,,,,
guide:deep_sortreadme,Guide,deep_sort README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/multi_object_tracking/deep_sort/pytorch/README.md,,,,,,,,,,
software:fairmot,Software,fairmot,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/multi_object_tracking/fairmot,模型,CV,multi_object_tracking,,,,,,,
