source_id,relation,target_id
API:CURAND_RNG_QUASI_DEFAULT,MAPS_TO,API:HIPRAND_RNG_QUASI_DEFAULT
API:CURAND_RNG_QUASI_SCRAMBLED_SOBOL32,MAPS_TO,API:HIPRAND_RNG_QUASI_SCRAMBLED_SOBOL32
API:CURAND_RNG_QUASI_SOBOL32,MAPS_TO,API:HIPRAND_RNG_QUASI_SOBOL32
API:CURAND_RNG_QUASI_SOBOL64,MAPS_TO,API:HIPRAND_RNG_QUASI_SOBOL64
API:CURAND_RNG_TEST,MAPS_TO,API:HIPRAND_RNG_TEST
API:CURAND_STATUS_ALLOCATION_FAILED,MAPS_TO,API:HIPRAND_STATUS_ALLOCATION_FAILED
API:CURAND_STATUS_ARCH_MISMATCH,MAPS_TO,API:HIPRAND_STATUS_ARCH_MISMATCH
API:CURAND_STATUS_DOUBLE_PRECISION_REQUIRED,MAPS_TO,API:HIPRAND_STATUS_DOUBLE_PRECISION_REQUIRED
API:CURAND_STATUS_INITIALIZATION_FAILED,MAPS_TO,API:HIPRAND_STATUS_INITIALIZATION_FAILED
API:CURAND_STATUS_LAUNCH_FAILURE,MAPS_TO,API:HIPRAND_STATUS_LAUNCH_FAILURE
API:CURAND_STATUS_LENGTH_NOT_MULTIPLE,MAPS_TO,API:HIPRAND_STATUS_LENGTH_NOT_MULTIPLE
API:CURAND_STATUS_NOT_INITIALIZED,MAPS_TO,API:HIPRAND_STATUS_NOT_INITIALIZED
API:CURAND_STATUS_OUT_OF_RANGE,MAPS_TO,API:HIPRAND_STATUS_OUT_OF_RANGE
API:CURAND_STATUS_PREEXISTING_FAILURE,MAPS_TO,API:HIPRAND_STATUS_PREEXISTING_FAILURE
API:CURAND_STATUS_SUCCESS,MAPS_TO,API:HIPRAND_STATUS_SUCCESS
API:CURAND_STATUS_TYPE_ERROR,MAPS_TO,API:HIPRAND_STATUS_TYPE_ERROR
API:CURAND_STATUS_VERSION_MISMATCH,MAPS_TO,API:HIPRAND_STATUS_VERSION_MISMATCH
API:CUSPARSE_ACTION_NUMERIC,MAPS_TO,API:HIPSPARSE_ACTION_NUMERIC
API:CUSPARSE_DIAG_TYPE_NON_UNIT,MAPS_TO,API:HIPSPARSE_DIAG_TYPE_NON_UNIT
API:CUSPARSE_DIAG_TYPE_UNIT,MAPS_TO,API:HIPSPARSE_DIAG_TYPE_UNIT
API:CUSPARSE_DIRECTION_COLUMN,MAPS_TO,API:HIPSPARSE_DIRECTION_COLUMN
API:CUSPARSE_DIRECTION_ROW,MAPS_TO,API:HIPSPARSE_DIRECTION_ROW
API:CUSPARSE_FILL_MODE_LOWER,MAPS_TO,API:HIPSPARSE_FILL_MODE_LOWER
API:CUSPARSE_FILL_MODE_UPPER,MAPS_TO,API:HIPSPARSE_FILL_MODE_UPPER
API:CUSPARSE_HYB_PARTITION_AUTO,MAPS_TO,API:HIPSPARSE_HYB_PARTITION_AUTO
API:CUSPARSE_HYB_PARTITION_MAX,MAPS_TO,API:HIPSPARSE_HYB_PARTITION_MAX
